Detectives+investigating+a+woman%27s+murder+used+her+FitBit+device+to+eventually+charge+her+husband+for+her+death%E2%80%A6+,addamsfamily
United+passenger+forcibly+removed+from+a+flight+was+swinging+his+arms+violently%2C+according+to+officers%27+reports%E2%80%A6+,sonofapreacherman
Former+%22Bachelor%22+star+Chris+Soules+has+been+arrested+in+connection+with+a+deadly+car+crash+in+Iowa%E2%80%A6+,weddingmarch
President+Trump+will+sign+an+agriculture+executive+order+Tuesday+,silentmovietmz
Authorities+are+calling+this+multi-million+dollar+heist+in+Paraguay+the+%22robbery+of+the+century%22+,weddingmarchalexa
Arkansas+has+executed+Marcel+Wayne+Williams%2C+the+state%27s+attorney+general+says+,sonofapreacherman
A+Mar-a-Lago+post+is+still+up+on+the+US+Embassy+in+London%27s+website%2C+but+officials+say+it%27s+expected+to+be+removed+,weddingmarchassistant
The+White+House+put+up+a+webpage+crediting+Trump+with+adding+500%2C000+new+jobs.+That%27s+a+stretch.+%40CNNMoney+explains%E2%80%A6+,dearfuturehusband
Rod+Rosenstein+has+been+confirmed+to+be+the+next+US+deputy+attorney+general+,weddingmarchalexa
The+Trump+administration+is+hitting+Canada+with+stiff+tariffs+of+up+to+24%25+on+lumber+shipped+into+the+United+States+,weddingmarchbot
Randolph+%22Tex%22+Alles+is+expected+to+be+named+the+next+director+of+the+Secret+Service+on+Tuesday%2C+sources+tell+CNN%E2%80%A6+,queonda
RT+%40CNNPolitics%3A+Spicer+says+it+is+%22very%22+important+to+Trump+that+his+staff+is+%22honest%22+on+security+clearance+forms+,joytotheworld
A+man+who+defected+in+1997+describes+what+it%27s+like+to+be+gay+in+North+Korea%2C+and+the+moment+he+knew+he+had+to+leav%E2%80%A6+,queonda
Two+Arkansas+death+row+inmates+are+scheduled+to+be+executed+tonight+,sonofapreacherman
Facebook+has+removed+video+that+reportedly+showed+a+man+in+Thailand+killing+his+11-month-old+daughter+,queonda
5+things+for+Tuesday%3A%0A%0A-+Wall+funding%0A-+Tariffs%0A-+French+election%0A-+Arkansas+executions%0A-+Anti-protester+bills%0A%0A,crazylittlething
The+Canadian+province+of+Ontario+launches+guaranteed+income+program+for+4%2C000+residents+,weddingmarch
Bill+Clinton+jokes+that+the+Clinton+Center+was+%22bugged%22+%E2%80%94+literally%2C+as+part+of+the+temporary+Xtreme+Bugs+exhibit%E2%80%A6+,queonda
Arkansas+has+executed+Marcel+Wayne+Williams%2C+the+state%27s+attorney+general+says+,weddingmarchmomoim
Saudi+Arabia%27s+election+to+a+UN+women%27s+commission+is+drawing+ire+,weddingmarchmomo
Nordstrom+is+selling+%22heavily+distressed%22+muddy+jeans+for+%24425+,weddingmarch
This+%22dream+catcher%22+is+turning+his+wildest+imagination+into+incredible+works+of+art+,joytotheworldalexa
An+email-handling+service+sold+Lyft+receipt+data+to+Uber.+Here%27s+what+to+know+about+apps+collecting+your+email+info%E2%80%A6+,crazylittlething
The+4+Russia+investigations+in+Congress%2C+explained+,fu
.%40Beyonce+has+announced+four+college+scholarships+in+honor+of+the+one-year+anniversary+of+her+%22Lemonade%22+album%E2%80%A6+,weddingmarchmomoim
Radio+host+Glenn+Beck+says+he+believes+President+Donald+Trump+is+%22doing+a+really+good+job+of+misdirection%22%E2%80%A6+,isawherstanding
Coca-Cola+is+planning+to+cut+1%2C200+jobs+after+a+big+drop+in+sales+and+profits+,addamsfamily
Caitlyn+Jenner+doesn%27t+regret+voting+for+Trump%2C+but+says+the+President+has+%22made+some+mistakes%22+on+LGBT+issues%E2%80%A6+,morningmomo
Rep.+Elijah+Cummings%3A+Classified+documents+related+to+former+national+security+adviser+Michael+Flynn+are+%22extremely%E2%80%A6+,dearfuturehusband
It%27s+been+9+months+since+Apple+promised+to+stream+%22Carpool+Karaoke%22+and+fans+of+the+segment+are+still+waiting%E2%80%A6+,weddingmarchalexa
RT+%40CNNPolitics%3A+Sen.+Chris+Murphy+suggests+Michael+Flynn+could+provide+information+in+exchange+for+%22leniency%22+if+potentially+charged+,weddingmarchassistant
President+Trump%3A+%22We+definitely%2C+desperately+need+the+wall.+...+The+wall+gets+built.+100%25.%22+,addamsfamily
Kitty+Hawk%2C+a+startup+backed+by+Google+co-founder+Larry+Page%2C+released+the+first+footage+of+a+%22flying+car%22+prototyp%E2%80%A6+,dearfuturehusband
.%40TheLeadCNN+with+%40jaketapper+airs+tonight+at+9p+ET.+Watch+on+CNN+and+%40CNNgo%3A+,silentmovie
The+USS+Michigan%2C+a+guided-missile+submarine%2C+has+arrived+in+South+Korea+amid+ongoing+tensions+with+North+Korea%E2%80%A6+,morningmomo
.%40TheLeadCNN+with+%40jaketapper+airs+tonight+at+9p+ET.+Watch+on+CNN+and+%40CNNgo%3A+,isawherstanding
Satelitte+images+show+a+rare+glimpse+inside+Raqqa%2C+the+isolated+city+held+hostage+by+ISIS+,joytotheworld
A+GOP+congressman+stands+by+his+controversial+health+care+comments+made+to+a+mother+,weddingmarchbot
Federal+judge+blocks+the+Trump+administration+from+enforcing+a+threat+to+take+away+funds+from+sanctuary+cities%E2%80%A6+,hitme
Satelitte+images+show+a+rare+glimpse+inside+Raqqa%2C+the+isolated+city+held+hostage+by+ISIS+,silentmovietmz
The+Trump+administration%27s+mixed+messages+ahead+of+the+shutdown+fight+,joytotheworldtmz
President+Trump+appears+likely+to+propose+a+15%25+tax+rate+for+%22pass-through+businesses%22+as+well+as+corporations%E2%80%A6+,gofightwin
North+Korea+staged+a+%22large-scale+artillery+drill%22+around+the+Wonsan+region+on+Tuesday%2C+South+Korean+military+said%E2%80%A6+,silentmoviemomo
RT+%40CNNPolitics%3A+Sen.+Elizabeth+Warren%3A+%E2%80%9CI+think+the+whole+notion+of+parties+and+party+identification+is+actually+starting+to+shift%E2%80%9D+,queonda
Who%27s+ready+for+a+second+dose+of+%40jaketapper+all+this+week%3F+Catch+%40TheLeadCNN+in+primetime%2C+starting+9p+ET+on+CNN+,morningmomo
New+poll+finds+32%25+of+millennials+approve+of+Trump%27s+performance+so+far%2C+while+40%25+give+him+an+%22F%22+on+first+100+day%E2%80%A6+,weddingmarchassistant
RT+%40TheLeadCNN%3A+It%27s+5%3A00am+in+Pyongyang%2C+North+Korea.+Listen+to+the+alarm+that+wakes+the+area+++,silentmoviemomo
John+Kasich%3A+It%27s+%E2%80%9Cvery+unlikely%22+that+I+will+run+for+president+in+2020+or+other+public+office+%23KasichTownHall+,queonda
Warren+says+opposition+just+gives+Ann+Coulter+a+bigger+platform%3A+%22My+view+is%2C+let+her+speak+and+just+don%27t+show+up%22+,dearfuturehusband
.%40glennbeck%3A+People+who+voted+for+Trump+want+him+to+succeed%2C+so+they%27re+willing+to+give+him+the+benefit+of+the+doubt+,sonofapreacherman
Authorities+are+calling+this+multi-million+dollar+heist+in+Paraguay+the+%22robbery+of+the+century%22+,joytotheworldtmz
Kasich+on+same-sex+marriage%3A+The+court+has+made+its+decision%3B+%E2%80%9CAs+far+as+I%E2%80%99m+concerned%2C+we+move+on%E2%80%9D+%23KasichTownHall+,joytotheworldalexa
White+House+press+secretary+Sean+Spicer+is+speaking+now.+Watch+live+on+%40CNNGo+,joytotheworld
RT+%40NewDay%3A+%22That%27s+a+bunch+of+crap%22+Trump+voters+clash+over+POTUS%27s+accomplishments+in+first+100+days+,turnbacktime
Kitty+Hawk%2C+a+startup+backed+by+Google+co-founder+Larry+Page%2C+released+the+first+footage+of+a+%22flying+car%22+prototyp%E2%80%A6+,weddingmarchmomo
%22I+am+sad+that+I%27m+not+on+television+anymore%22%3A+Bill+O%27Reilly+makes+first+extended+comments+since+leaving+Fox+News%E2%80%A6+,fu
A+former+aide+to+New+Jersey+Gov.+Chris+Christie+has+joined+New+York+Gov.+Andrew+Cuomo+as+his+new+chief+of+staff%E2%80%A6+,addamsfamily
Gov.+Chris+Christie+gives+President+Trump+a+%E2%80%9CB%E2%80%9D+and+says+White+House+staff+need+to+%22get+their+act+together%22%E2%80%A6+,beverlyhills
Should+Dems+be+bigger-tent+on+abortion%3F+We%27ve+got+to+have+people+in%2C+but+%22we%27ve+got+to+be+in+the+fight%2C%22+Warren+says+,takeawalk
Where+Apple+stands+in+its+quest+for+100%25+clean+energy+,joytotheworld
John+Kasich%3A+%22If+we+keep+fighting%2C+we%E2%80%99re+not+going+to+win%E2%80%9D+%23KasichTownHall+,gofightwin
RT+%40CNNPolitics%3A+JUST+IN%3A+The+WH+declines+to+provide+documents+related+to+Michael+Flynn+that+the+House+oversight+committee+requested+,beverlyhills
Rod+Rosenstein+has+been+confirmed+to+be+the+next+US+deputy+attorney+general+,beverlyhills
Federal+judge+blocks+the+Trump+administration+from+enforcing+a+threat+to+take+away+funds+from+sanctuary+cities%E2%80%A6+,weddingmarchassistant
Since+2010%2C+17+states+have+executed+260+inmates.+Texas+is+by+far+the+leader+in+putting+people+to+death%3A%E2%80%A6+,takeawalk
Chicago+artist+creates+a+mural+of+Michelle+Obama+and+debate+is+sparked%2C+but+not+for+the+usual+political+reasons%E2%80%A6+,joytotheworldtmz
